LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.227729825000097,space,18.83832664800002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.48619734400017,90.48619734400017,90.48619734400017,90.48619734400017,90.48619734400017,90.48619734400017,90.48619734400017,90.48619734400017,90.48619734400017,90.48619734400017,l,2.5095104210004138,10,10,0,93.0220682600002,94.52405197200005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.02435724999987,95.02435724999987,95.02435724999987,95.02435724999987,95.02435724999987,95.02435724999987,95.02435724999987,95.02435724999987,95.02435724999987,95.02435724999987,a,1.0254377430001114,10,20,0,96.07560015199988,97.57732596100004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.07776435000005,98.07776435000005,98.07776435000005,98.07776435000005,98.07776435000005,98.07776435000005,98.07776435000005,98.07776435000005,98.07776435000005,98.07776435000005,a,1.0283515760002047,1,21,0,99.12911346100009,100.63050917999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.13110011900017,101.13110011900017,101.13110011900017,101.13110011900017,101.13110011900017,101.13110011900017,101.13110011900017,101.13110011900017,101.13110011900017,101.13110011900017,l,0.6391637900001115,10,31,0,101.79858666400014,103.30022957600022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.80072211400011,103.80072211400011,103.80072211400011,103.80072211400011,103.80072211400011,103.80072211400011,103.80072211400011,103.80072211400011,103.80072211400011,103.80072211400011,a,0.8512258020000445,10,41,0,104.66852049699992,106.17010821399981,106.17010821399981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.67050150100022,106.67050150100022,106.67050150100022,106.67050150100022,106.67050150100022,106.67050150100022,106.67050150100022,106.67050150100022,106.67050150100022,106.67050150100022,a,0.9329096179999397,1,42,0,107.62167422399989,109.12329688099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.62392098400005,109.62392098400005,109.62392098400005,109.62392098400005,109.62392098400005,109.62392098400005,109.62392098400005,109.62392098400005,109.62392098400005,109.62392098400005,a,0.7160087309998744,10,52,0,110.35818020099987,111.85968672499985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.36013249899997,112.36013249899997,112.36013249899997,112.36013249899997,112.36013249899997,112.36013249899997,112.36013249899997,112.36013249899997,112.36013249899997,112.36013249899997,l,0.6094777099997373,1,53,0,112.99417246600024,114.49602162100018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.99653934200023,114.99653934200023,114.99653934200023,114.99653934200023,114.99653934200023,114.99653934200023,114.99653934200023,114.99653934200023,114.99653934200023,114.99653934200023,l,0.7015057160001561,1,54,0,115.73069975899989,117.23224894099985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.73293663499999,117.73293663499999,117.73293663499999,117.73293663499999,117.73293663499999,117.73293663499999,117.73293663499999,117.73293663499999,117.73293663499999,117.73293663499999,a,0.8134287259999837,10,64,0,118.56696783000007,120.06851697599996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.56906845399999,120.56906845399999,120.56906845399999,120.56906845399999,120.56906845399999,120.56906845399999,120.56906845399999,120.56906845399999,120.56906845399999,120.56906845399999,l,0.6821547550002833,1,65,0,121.26997238900003,122.77155096500019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.27234714899987,123.27234714899987,123.27234714899987,123.27234714899987,123.27234714899987,123.27234714899987,123.27234714899987,123.27234714899987,123.27234714899987,123.27234714899987,l,0.5294170050001412,1,66,0,123.8229021090001,125.32451140500007,125.32451140500007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,0,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.82498756999985,125.82498756999985,125.82498756999985,125.82498756999985,125.82498756999985,125.82498756999985,125.82498756999985,125.82498756999985,125.82498756999985,125.82498756999985,a,0.7132204380000076,10,76,0,126.55916942400017,128.06072620099985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12531,2022-09-19_10h41.26.973,vts_reward_expectancy_OFFLINE,2022.2.4,59.92560787097398,
