LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,feedbk_text.stopped,button.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.995678701001452,space,69.9306757839986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.12676350400216,146.12676350400216,146.12676350400216,146.12676350400216,146.12676350400216,146.12676350400216,146.12676350400216,146.12676350400216,146.12676350400216,146.12676350400216,l,8.935290202996839,1,1,0,155.08998901000086,156.5913840880021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.09238339300282,157.09238339300282,157.09238339300282,157.09238339300282,157.09238339300282,157.09238339300282,157.09238339300282,157.09238339300282,157.09238339300282,157.09238339300282,a,11.15409897799691,10,11,0,168.27090936700188,169.7726208180029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.27302461400177,170.27302461400177,170.27302461400177,170.27302461400177,170.27302461400177,170.27302461400177,170.27302461400177,170.27302461400177,170.27302461400177,170.27302461400177,l,4.477751956997963,10,21,0,174.77817796100135,176.27988276200267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.7803780590002,176.7803780590002,176.7803780590002,176.7803780590002,176.7803780590002,176.7803780590002,176.7803780590002,176.7803780590002,176.7803780590002,176.7803780590002,l,8.07533657899694,1,22,0,184.87256998200246,186.37417034100145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.87489965799978,186.87489965799978,186.87489965799978,186.87489965799978,186.87489965799978,186.87489965799978,186.87489965799978,186.87489965799978,186.87489965799978,186.87489965799978,a,2.3078933589968074,10,32,0,189.21068015499986,190.71233358500103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.21293238100043,191.21293238100043,191.21293238100043,191.21293238100043,191.21293238100043,191.21293238100043,191.21293238100043,191.21293238100043,191.21293238100043,191.21293238100043,l,11.962524398000824,1,33,0,203.1931433509999,204.69485910300136,204.69485910300136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.19512482700156,205.19512482700156,205.19512482700156,205.19512482700156,205.19512482700156,205.19512482700156,205.19512482700156,205.19512482700156,205.19512482700156,205.19512482700156,l,3.050608811998245,1,34,0,208.26503224500266,209.7667606290015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.26737206300095,210.26737206300095,210.26737206300095,210.26737206300095,210.26737206300095,210.26737206300095,210.26737206300095,210.26737206300095,210.26737206300095,210.26737206300095,l,2.169889513999806,1,35,0,212.46973520300162,213.97149835800155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.4721010100002,214.4721010100002,214.4721010100002,214.4721010100002,214.4721010100002,214.4721010100002,214.4721010100002,214.4721010100002,214.4721010100002,214.4721010100002,a,2.414323801996943,1,36,0,216.90829304300132,218.40962104100254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28713,2022-09-16_15h13.36.017,vts_reward_expectancy,2022.2.4,59.99656747655878,
