LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_training,trainBlock,training_feedback_txt.started,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,points_cumul,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.40956433699921,space,1.7514046230007807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.79174438499922,41.79174438499922,41.79174438499922,41.79174438499922,41.79174438499922,41.79174438499922,41.79174438499922,41.79174438499922,41.79174438499922,41.79174438499922,l,2.2575529970008574,10,10,3,44.120877568999276,45.602511636999225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.10224560899951,46.10224560899951,46.10224560899951,46.10224560899951,46.10224560899951,46.10224560899951,46.10224560899951,46.10224560899951,46.10224560899951,46.10224560899951,a,1.4195920920010394,1,11,3,47.55462044899923,49.05637359699995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.55683315399983,49.55683315399983,49.55683315399983,49.55683315399983,49.55683315399983,49.55683315399983,49.55683315399983,49.55683315399983,49.55683315399983,49.55683315399983,a,1.788145326000631,10,21,3,51.37552285599941,52.877238499999294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.37761309199959,53.37761309199959,53.37761309199959,53.37761309199959,53.37761309199959,53.37761309199959,53.37761309199959,53.37761309199959,53.37761309199959,53.37761309199959,a,1.3840215850004824,1,22,3,54.779213836000054,56.28087505499934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.78141479699934,56.78141479699934,56.78141479699934,56.78141479699934,56.78141479699934,56.78141479699934,56.78141479699934,56.78141479699934,56.78141479699934,56.78141479699934,a,1.3473349120013154,10,32,3,58.149525088999326,59.651273604999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.15100892800001,60.15100892800001,60.15100892800001,60.15100892800001,60.15100892800001,60.15100892800001,60.15100892800001,60.15100892800001,60.15100892800001,60.15100892800001,l,0.8739563790004468,10,42,3,61.052803119999226,62.55371004099925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.05493620499965,63.05493620499965,63.05493620499965,63.05493620499965,63.05493620499965,63.05493620499965,63.05493620499965,63.05493620499965,63.05493620499965,63.05493620499965,l,0.9062724520008487,1,43,3,63.98944873099936,65.49118419799925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.99157851599921,65.99157851599921,65.99157851599921,65.99157851599921,65.99157851599921,65.99157851599921,65.99157851599921,65.99157851599921,65.99157851599921,65.99157851599921,a,0.6405660120008179,10,53,3,66.65899360599997,68.16063626199957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.66122024799915,68.66122024799915,68.66122024799915,68.66122024799915,68.66122024799915,68.66122024799915,68.66122024799915,68.66122024799915,68.66122024799915,68.66122024799915,a,1.474846126000557,1,54,3,70.16277518099923,71.66467090399965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29784,2022-09-16_10h26.56.074,vts_reward_expectancy,2022.2.4,59.9292494456976,
