LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,training_fix.started,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,fix.started,fix.stopped,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpect,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.13901840199833,space,21.766604443000688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.62456291600029,100.97659372699854,100.97659372699854,100.97659372699854,100.97659372699854,100.97659372699854,100.97659372699854,100.97659372699854,100.97659372699854,100.97659372699854,l,1.0721525110020593,1,1,0,102.12676995400034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.62219513799937,104.10623466799734,104.10623466799734,104.10623466799734,104.10623466799734,104.10623466799734,104.10623466799734,104.10623466799734,104.10623466799734,104.10623466799734,l,9.744385438003519,1,2,0,113.86681740899803,115.36840475799909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.36840475799909,115.8523954179982,115.8523954179982,115.8523954179982,115.8523954179982,115.8523954179982,115.8523954179982,115.8523954179982,115.8523954179982,115.8523954179982,l,0.9814340250013629,10,12,0,116.85361403799834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.3551177249974,118.83921042099973,118.83921042099973,118.83921042099973,118.83921042099973,118.83921042099973,118.83921042099973,118.83921042099973,118.83921042099973,118.83921042099973,a,1.4515674160029448,10,22,0,120.30719579200013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.80921880599999,122.29295110800012,122.29295110800012,122.29295110800012,122.29295110800012,122.29295110800012,122.29295110800012,122.29295110800012,122.29295110800012,122.29295110800012,l,1.4359319830000459,1,23,0,123.76110370699826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.26272251999762,125.74670208899988,125.74670208899988,125.74670208899988,125.74670208899988,125.74670208899988,125.74670208899988,125.74670208899988,125.74670208899988,125.74670208899988,a,1.7270439359999727,1,24,0,127.49887293999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0002622719985,129.48443954899994,129.48443954899994,129.48443954899994,129.48443954899994,129.48443954899994,129.48443954899994,129.48443954899994,129.48443954899994,129.48443954899994,l,1.644215759002691,10,34,0,131.15268860499782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.65421450599752,133.13814914899922,133.13814914899922,133.13814914899922,133.13814914899922,133.13814914899922,133.13814914899922,133.13814914899922,133.13814914899922,133.13814914899922,a,1.1998949740009266,1,35,0,134.3560527720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.857656786,136.3417392880001,136.3417392880001,136.3417392880001,136.3417392880001,136.3417392880001,136.3417392880001,136.3417392880001,136.3417392880001,136.3417392880001,l,1.5958507410032325,10,45,0,137.96039465300055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36290,2022-09-21_10h13.54.520,vts_reward_expectancy_OFFLINE,2022.2.4,59.912243422048526,
