LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.646669925001333,space,14.300003014999675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73676,2022-09-20_10h04.50.054,vts_reward_expectancy_OFFLINE,2022.2.4,59.940003293777984,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.37806142200134,52.37806142200134,52.37806142200134,52.37806142200134,52.37806142200134,52.37806142200134,52.37806142200134,52.37806142200134,52.37806142200134,52.37806142200134,l,1.3686473930065404,1,1,0,53.76446034199762,55.266079101995274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73676,2022-09-20_10h04.50.054,vts_reward_expectancy_OFFLINE,2022.2.4,59.940003293777984,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.76664426899515,55.76664426899515,55.76664426899515,55.76664426899515,55.76664426899515,55.76664426899515,55.76664426899515,55.76664426899515,55.76664426899515,55.76664426899515,a,1.827978430002986,10,11,0,57.61857923399657,59.12025230099971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73676,2022-09-20_10h04.50.054,vts_reward_expectancy_OFFLINE,2022.2.4,59.940003293777984,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.62075044199446,59.62075044199446,59.62075044199446,59.62075044199446,59.62075044199446,59.62075044199446,59.62075044199446,59.62075044199446,59.62075044199446,59.62075044199446,l,1.2529995850054547,10,21,0,60.90557362799882,62.4073053999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73676,2022-09-20_10h04.50.054,vts_reward_expectancy_OFFLINE,2022.2.4,59.940003293777984,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.90781585899822,62.90781585899822,62.90781585899822,62.90781585899822,62.90781585899822,62.90781585899822,62.90781585899822,62.90781585899822,62.90781585899822,62.90781585899822,a,1.7992751620040508,1,22,0,64.72645254699455,66.22812593799608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73676,2022-09-20_10h04.50.054,vts_reward_expectancy_OFFLINE,2022.2.4,59.940003293777984,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7288268409975,66.7288268409975,66.7288268409975,66.7288268409975,66.7288268409975,66.7288268409975,66.7288268409975,66.7288268409975,66.7288268409975,66.7288268409975,a,1.3853638760047033,10,32,0,68.1469728459997,69.64848363199417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73676,2022-09-20_10h04.50.054,vts_reward_expectancy_OFFLINE,2022.2.4,59.940003293777984,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.14914117800072,70.14914117800072,70.14914117800072,70.14914117800072,70.14914117800072,70.14914117800072,70.14914117800072,70.14914117800072,70.14914117800072,70.14914117800072,a,1.4608401540026534,10,42,0,71.63408465899556,73.13582569499704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73676,2022-09-20_10h04.50.054,vts_reward_expectancy_OFFLINE,2022.2.4,59.940003293777984,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.63623418899806,73.63623418899806,73.63623418899806,73.63623418899806,73.63623418899806,73.63623418899806,73.63623418899806,73.63623418899806,73.63623418899806,73.63623418899806,a,0.7507456050007022,1,43,0,74.40383235299669,75.90566680099437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73676,2022-09-20_10h04.50.054,vts_reward_expectancy_OFFLINE,2022.2.4,59.940003293777984,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.40613974999724,76.40613974999724,76.40613974999724,76.40613974999724,76.40613974999724,76.40613974999724,76.40613974999724,76.40613974999724,76.40613974999724,76.40613974999724,a,1.3008072300071944,10,53,0,77.7242871349954,79.22577894999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73676,2022-09-20_10h04.50.054,vts_reward_expectancy_OFFLINE,2022.2.4,59.940003293777984,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.72638721700059,79.72638721700059,79.72638721700059,79.72638721700059,79.72638721700059,79.72638721700059,79.72638721700059,79.72638721700059,79.72638721700059,79.72638721700059,l,0.8352739950059913,10,63,0,80.59399820999533,82.09555275699677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73676,2022-09-20_10h04.50.054,vts_reward_expectancy_OFFLINE,2022.2.4,59.940003293777984,
