"","participant","acc","E1","points_trial","points_cumul","alt","task","condition","rewExpect","rewCond","curr_shape","curr_topStim","curr_bottStim","blockNum","LShape_ID","RShape_ID","trainBlock","training.thisN","training_resp.keys","training_resp.rt","target_resp.rt","target_resp.keys","trials_norew.thisRepN","trials_rew.thisRepN","platform","OS","browser","xResolution","yResolution"
"1",36290,NA,NA,1,1,"","","training","","","",NA,"",NA,"triangle","circle",0,0,"l",1.07215251100206,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"2",36290,NA,NA,1,2,"","","training","","","",NA,"",NA,"triangle","hexagon",0,1,"l",9.74438543800352,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"3",36290,NA,NA,10,12,"","","training","","","",NA,"",NA,"circle","triangle",0,2,"l",0.981434025001363,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"4",36290,NA,NA,10,22,"","","training","","","",NA,"",NA,"hexagon","star",0,3,"a",1.45156741600294,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"5",36290,NA,NA,1,23,"","","training","","","",NA,"",NA,"circle","star",0,4,"l",1.43593198300005,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"6",36290,NA,NA,1,24,"","","training","","","",NA,"",NA,"hexagon","circle",0,5,"a",1.72704393599997,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"7",36290,NA,NA,10,34,"","","training","","","",NA,"",NA,"hexagon","triangle",0,6,"l",1.64421575900269,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"8",36290,NA,NA,1,35,"","","training","","","",NA,"",NA,"triangle","star",0,7,"a",1.19989497400093,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"9",36290,NA,NA,10,45,"","","training","","","",NA,"",NA,"star","circle",0,8,"l",1.59585074100323,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"10",36290,NA,NA,10,55,"","","training","","","",NA,"",NA,"circle","hexagon",0,9,"l",1.73604477600384,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"11",36290,NA,NA,1,56,"","","training","","","",NA,"",NA,"star","triangle",0,10,"a",2.66157304800436,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"12",36290,NA,NA,10,66,"","","training","","","",NA,"",NA,"star","hexagon",0,11,"l",1.37383858500107,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"13",36290,NA,NA,1,67,"","","training","","","",NA,"",NA,"hexagon","star",0,12,"a",1.11497862500619,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"14",36290,NA,NA,10,77,"","","training","","","",NA,"",NA,"triangle","hexagon",0,13,"a",1.21890843400251,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"15",36290,NA,NA,1,78,"","","training","","","",NA,"",NA,"hexagon","triangle",0,14,"a",2.89422944300168,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"16",36290,NA,NA,10,88,"","","training","","","",NA,"",NA,"triangle","circle",0,15,"a",0.907842770004208,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"17",36290,NA,NA,10,98,"","","training","","","",NA,"",NA,"triangle","star",0,16,"l",0.64494733200263,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"18",36290,NA,NA,1,99,"","","training","","","",NA,"",NA,"star","triangle",0,17,"a",1.82382236500416,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"19",36290,NA,NA,1,100,"","","training","","","",NA,"",NA,"circle","triangle",0,18,"l",0.937431443002424,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"20",36290,NA,NA,10,110,"","","training","","","",NA,"",NA,"circle","star",0,19,"l",1.86385173500457,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
"21",36290,NA,NA,1,111,"","","training","","","",NA,"",NA,"star","hexagon",0,20,"l",1.54570100400451,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA
