"","participant","acc","E1","points_trial","points_cumul","alt","task","condition","rewCond","curr_shape","curr_topStim","curr_bottStim","blockNum","LShape_ID","RShape_ID","trainBlock","training.thisN","training_resp.keys","training_resp.rt","target_resp.rt","target_resp.keys","trials_norew.thisRepN","trials_rew.thisRepN","platform","OS","browser","xResolution","yResolution","rewExpect"
"1",47150,NA,NA,1,1,"","","training","","",NA,"",NA,"circle","triangle",0,0,"a",3.00131856500229,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"2",47150,NA,NA,1,2,"","","training","","",NA,"",NA,"star","triangle",0,1,"l",3.33043939399795,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"3",47150,NA,NA,10,12,"","","training","","",NA,"",NA,"circle","star",0,2,"l",1.14227597099671,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"4",47150,NA,NA,10,22,"","","training","","",NA,"",NA,"triangle","hexagon",0,3,"l",0.460292818999733,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"5",47150,NA,NA,1,23,"","","training","","",NA,"",NA,"circle","hexagon",0,4,"l",3.56540192099783,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"6",47150,NA,NA,1,24,"","","training","","",NA,"",NA,"star","circle",0,5,"a",2.86422108199622,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"7",47150,NA,NA,10,34,"","","training","","",NA,"",NA,"hexagon","triangle",0,6,"a",3.23206210900389,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"8",47150,NA,NA,1,35,"","","training","","",NA,"",NA,"star","hexagon",0,7,"a",1.94341124500352,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"9",47150,NA,NA,1,36,"","","training","","",NA,"",NA,"triangle","star",0,8,"l",4.47743237699615,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"10",47150,NA,NA,1,37,"","","training","","",NA,"",NA,"hexagon","star",0,9,"l",4.80235282699869,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"11",47150,NA,NA,10,47,"","","training","","",NA,"",NA,"triangle","circle",0,10,"l",2.17022148999968,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"12",47150,NA,NA,10,57,"","","training","","",NA,"",NA,"hexagon","circle",0,11,"l",0.76559544599877,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"13",47150,NA,NA,1,58,"","","training","","",NA,"",NA,"triangle","star",0,12,"l",1.64281722199667,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"14",47150,NA,NA,1,59,"","","training","","",NA,"",NA,"circle","hexagon",0,13,"a",4.52315067699965,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"15",47150,NA,NA,1,60,"","","training","","",NA,"",NA,"circle","star",0,14,"a",3.60640258200146,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"16",47150,NA,NA,10,70,"","","training","","",NA,"",NA,"hexagon","circle",0,15,"l",4.03897796600359,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"17",47150,NA,NA,1,71,"","","training","","",NA,"",NA,"circle","triangle",0,16,"a",2.9350647579995,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"18",47150,NA,NA,1,72,"","","training","","",NA,"",NA,"star","circle",0,17,"a",2.05911640900013,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"19",47150,NA,NA,10,82,"","","training","","",NA,"",NA,"star","hexagon",0,18,"l",29.6586380970039,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"20",47150,NA,NA,1,83,"","","training","","",NA,"",NA,"triangle","hexagon",0,19,"a",2.34951089999959,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"21",47150,NA,NA,1,84,"","","training","","",NA,"",NA,"hexagon","triangle",0,20,"a",2.6349969369985,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"22",47150,NA,NA,10,94,"","","training","","",NA,"",NA,"triangle","circle",0,21,"l",1.56209971999488,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"23",47150,NA,NA,1,95,"","","training","","",NA,"",NA,"star","triangle",0,22,"a",2.29494660400087,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"24",47150,NA,NA,1,96,"","","training","","",NA,"",NA,"hexagon","star",0,23,"l",5.71836010900006,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"25",47150,NA,NA,10,106,"","","training","","",NA,"",NA,"star","hexagon",0,24,"l",1.32017959199584,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"26",47150,NA,NA,1,107,"","","training","","",NA,"",NA,"hexagon","star",0,25,"l",3.57376624500466,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"27",47150,NA,NA,1,108,"","","training","","",NA,"",NA,"star","triangle",0,26,"l",1.17551785199612,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"28",47150,NA,NA,1,109,"","","training","","",NA,"",NA,"triangle","circle",0,27,"a",1.05234137100342,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"29",47150,NA,NA,1,110,"","","training","","",NA,"",NA,"hexagon","triangle",0,28,"l",4.91774042299949,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"30",47150,NA,NA,1,111,"","","training","","",NA,"",NA,"circle","triangle",0,29,"a",1.1689401390031,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"31",47150,NA,NA,10,121,"","","training","","",NA,"",NA,"hexagon","circle",0,30,"a",1.41355647899763,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"32",47150,NA,NA,1,122,"","","training","","",NA,"",NA,"triangle","hexagon",0,31,"a",4.85616953299905,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"33",47150,NA,NA,10,132,"","","training","","",NA,"",NA,"circle","hexagon",0,32,"l",1.66945254199527,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"34",47150,NA,NA,10,142,"","","training","","",NA,"",NA,"star","circle",0,33,"l",2.84471016699536,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"35",47150,NA,NA,1,143,"","","training","","",NA,"",NA,"circle","star",0,34,"a",2.88656398399326,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"36",47150,NA,NA,10,153,"","","training","","",NA,"",NA,"triangle","star",0,35,"l",4.12324653199903,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"37",47150,NA,NA,10,163,"","","training","","",NA,"",NA,"star","hexagon",1,0,"a",2.1526519790059,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"38",47150,NA,NA,1,164,"","","training","","",NA,"",NA,"triangle","star",1,1,"l",1.56414242299797,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
"39",47150,NA,NA,10,174,"","","training","","",NA,"",NA,"circle","star",1,2,"l",2.95404760000383,NA,"",NA,NA,"inlab","MacIntel",NA,NA,NA,NA
